company_name	feature	feature_value	shap_value	rank
SUPERJAM LIMITED	P/L before tax  (Last avail. yr)		-0.3013821244239807	2
SUPERJAM LIMITED	Current assets  (Last avail. yr)	11.9743614888041	0.2782842218875885	3
SUPERJAM LIMITED	Capital	0.03408455136207065	-0.2698989510536194	4
SUPERJAM LIMITED	Debtors		-0.21106180548667908	5
MERIDIAN MEDICAL OY	Of which cash and cash equivalent  (Last avail. yr)	24000.0	0.29454943537712097	1
MERIDIAN MEDICAL OY	Other shareholders funds  (Last avail. yr)	-873000.0	0.26454389095306396	2
MERIDIAN MEDICAL OY	Debtors  (Last avail. yr)	170000.0	-0.25915610790252686	3
MERIDIAN MEDICAL OY	Other current assets	0.4444444444444444	-0.21039658784866333	4
MERIDIAN MEDICAL OY	Debtors	1.428571428571429	-0.17362670600414276	5
CAMORKA OU	Capital	0.3120666666666667	0.7806226015090942	1
CAMORKA OU	NACE na	True	0.6008926630020142	2
CAMORKA OU	Of which cash and cash equivalent  (Last avail. yr)	589.0	0.42190101742744446	3
CAMORKA OU	Current liabilities  (Last avail. yr)	8704.0	0.40101438760757446	4
CAMORKA OU	Current assets  (Last avail. yr)	1150.0	0.3252003788948059	5
TWENTY SOMETHING LONDON LIMITED	Capital	1.247325662592078	1.9072929620742798	1
TWENTY SOMETHING LONDON LIMITED	Current liabilities  (Last avail. yr)	14705.1648695358	0.3993348777294159	2
TWENTY SOMETHING LONDON LIMITED	Of which cash and cash equivalent  (Last avail. yr)	13050.0028489773	0.27695637941360474	3
TWENTY SOMETHING LONDON LIMITED	Capital  (Last avail. yr)	577.950017014693	0.23521877825260162	4
TWENTY SOMETHING LONDON LIMITED	Creditors  (Last avail. yr)	0.0	0.23321180045604706	5
3DIVI COMPANY	Capital	-0.2430102161725605	-0.7069372534751892	1
3DIVI COMPANY	Number of employees	0.2916666666666667	-0.6330316662788391	2
3DIVI COMPANY	Number of employees (Last avail. yr)	62.0	-0.3687084913253784	3
3DIVI COMPANY	Debtors  (Last avail. yr)	443385.551671012	-0.35349947214126587	4
3DIVI COMPANY	P/L before tax  (Last avail. yr)	46677.4739891243	-0.21014270186424255	5
TRENDMINER	Number of employees (Last avail. yr)	46.0	-0.43690747022628784	1
TRENDMINER	Number of employees	-0.1481481481481481	-0.29617056250572205	2
TRENDMINER	Tangible fixed assets  (Last avail. yr)	293829.0	0.21813233196735382	3
TRENDMINER	Capital  (Last avail. yr)	1228700.0	0.21186724305152893	4
TRENDMINER	Of which cash and cash equivalent  (Last avail. yr)	64501.0	0.1844286471605301	5
MYDECO LTD	Capital	0.02899392018300454	-1.2893162965774536	1
MYDECO LTD	Non current assets	-1.0	0.7710049152374268	2
MYDECO LTD	Other current liabilities  (Last avail. yr)	8045.66406001893	0.46082475781440735	3
MYDECO LTD	Current liabilities  (Last avail. yr)	18868.0362751906	0.35447928309440613	4
MYDECO LTD	Solvency ratio  Asset based	4.390808569454043	-0.33970576524734497	5
RAKUTEN SYMPHONY DEUTSCHLAND GMBH	Number of employees (Last avail. yr)	81.0	-0.4534634053707123	1
RAKUTEN SYMPHONY DEUTSCHLAND GMBH	Of which cash and cash equivalent  (Last avail. yr)	15312401.59	-0.392917275428772	2
RAKUTEN SYMPHONY DEUTSCHLAND GMBH	Operating revenue  Turnover   (Last avail. yr)	23318425.07	-0.39236897230148315	3
RAKUTEN SYMPHONY DEUTSCHLAND GMBH	Tangible fixed assets	16.53866670245777	0.3660646080970764	4
RAKUTEN SYMPHONY DEUTSCHLAND GMBH	Tangible fixed assets  (Last avail. yr)	2691891.04	0.3104621171951294	5
APPS4PRO	Consolidation code NF	True	-0.23716185986995697	1
APPS4PRO	Quoted Yes	False	0.02181718312203884	2
CLOUD CYCLE LTD.	Capital	0.2657814782995033	1.16264808177948	1
CLOUD CYCLE LTD.	Tangible fixed assets  (Last avail. yr)	434954.311847023	0.2908322215080261	2
CLOUD CYCLE LTD.	Debtors	0.9927077377288449	-0.2870155870914459	3
CLOUD CYCLE LTD.	Tangible fixed assets	3.151584997874089	0.28698378801345825	4
CLOUD CYCLE LTD.	Working capital  (Last avail. yr)	-461556.55333055	0.28542354702949524	5
SMARKETS LIMITED	Capital	0.01863731197532364	-1.1028848886489868	1
SMARKETS LIMITED	Number of employees (Last avail. yr)	91.0	-0.5247601270675659	2
SMARKETS LIMITED	Other current assets  (Last avail. yr)	38215689.8195093	-0.48498788475990295	3
SMARKETS LIMITED	Of which cash and cash equivalent  (Last avail. yr)	34673955.8543922	-0.4346950352191925	4
SMARKETS LIMITED	Shareholders funds	-1.17406627477035	0.3232400715351105	5
CLEENG B.V.	Other shareholders funds	0.5457599889925383	0.5447752475738525	1
CLEENG B.V.	Current liabilities  (Last avail. yr)	12602094.0	-0.31426703929901123	2
CLEENG B.V.	Solvency ratio  Asset based	0.1029472810294729	-0.24794332683086395	3
CLEENG B.V.	Current assets  (Last avail. yr)	13141064.0	-0.20092324912548065	4
CLEENG B.V.	Intangible assets	0.3644900413221704	0.2004038244485855	5
WEBEVENTS LIMITED	Capital	0.01863731197532309	-1.4660460948944092	1
WEBEVENTS LIMITED	Of which cash and cash equivalent  (Last avail. yr)	6432286.77491651	-0.5922524929046631	2
WEBEVENTS LIMITED	Operating revenue  Turnover   (Last avail. yr)	24185905.3882141	-0.4738752543926239	3
WEBEVENTS LIMITED	Number of employees (Last avail. yr)	232.0	-0.39188918471336365	4
WEBEVENTS LIMITED	Other current assets  (Last avail. yr)	29887486.2295529	-0.3039498031139374	5
THINGARAGE S.R.L. IN LIQUIDAZIONE	Of which cash and cash equivalent  (Last avail. yr)	1127.0	0.5308148860931396	1
THINGARAGE S.R.L. IN LIQUIDAZIONE	Current assets  (Last avail. yr)	2745.0	0.5160391330718994	2
THINGARAGE S.R.L. IN LIQUIDAZIONE	Current liabilities  (Last avail. yr)	740.0	0.2551479637622833	3
THINGARAGE S.R.L. IN LIQUIDAZIONE	Total shareholders  funds and liabilities	-0.6545402345992946	0.24122188985347748	4
THINGARAGE S.R.L. IN LIQUIDAZIONE	Total assets  (Last avail. yr)	8423.0	0.23382972180843353	5
DYNMARK INTERNATIONAL LIMITED	Consolidation code NF	True	-0.361068457365036	1
DYNMARK INTERNATIONAL LIMITED	NACE na	True	0.2601965069770813	2
DYNMARK INTERNATIONAL LIMITED	Consolidation code LF	False	0.04895012825727463	3
DYNMARK INTERNATIONAL LIMITED	Quoted Yes	False	0.023554867133498192	4
IMPOSSIBLE SOFTWARE GMBH	Consolidation code NF	False	0.08857028931379318	1
