series,count,mean,std,min,25%,50%,75%,max
L_t_equal,204.0,0.3367998072844158,0.4075720221607273,-1.1575454545454598,0.18191682934043246,0.3208409326181055,0.4976489443512387,2.3993561076604566
L_t_proxy_spread_only,252.0,0.6733099023695205,0.42718899879729705,0.03438843537415431,0.48176071428571426,0.6299660671936762,0.8207576530612253,2.38917922077922
cds_pair_ratio,252.0,0.7006802721088434,0.40463553967770155,0.0,0.42857142857142855,1.0,1.0,1.0
std_basis_t,204.0,0.2566291029218528,0.17987201733981895,0.03523663311979825,0.14639751141690877,0.20190164605597993,0.30329569412368934,1.1581196083353742
std_basis_proxy_t,252.0,0.5432142630530881,0.41105272422970385,0.045348619184102636,0.24930499222695768,0.4950682030752933,0.6518881148754022,2.155703919063717
mad_basis_t,204.0,0.11324299150802193,0.10903515373424147,0.002676173499699175,0.052207356315664005,0.0772928417006965,0.11916220930232554,0.7809346405228754
range_basis_t,204.0,0.6555934181987997,0.3804942172408415,0.06711920529801274,0.4075550734312431,0.5698835625159153,0.7837750000000001,2.16128571428571
iqr_basis_t,204.0,0.23379682938919844,0.1921142505599554,0.021647513812154642,0.11233590211640554,0.16545577552852908,0.26599108390973625,1.080642857142855
avg_spread_t,252.0,0.6733099023695205,0.42718899879729705,0.03438843537415431,0.48176071428571426,0.6299660671936762,0.8207576530612253,2.38917922077922
