country,AT,BE,ES,FI,FR,IT,NL
AT,1.0,0.8700919602180803,0.6127534899734047,0.8190285205596276,0.8130741526979128,0.6874660808759134,0.8492569606233837
BE,0.8700919602180803,1.0,0.8090925976739052,0.5853456909005453,0.8478647473763113,0.8029704211807692,0.7572084729937347
ES,0.6127534899734047,0.8090925976739052,1.0,0.31516272110391275,0.7348406986961963,0.875815928979183,0.6328107403386038
FI,0.8190285205596276,0.5853456909005453,0.31516272110391275,1.0,0.6849977991429588,0.4943611942420594,0.7503587587549323
FR,0.8130741526979128,0.8478647473763113,0.7348406986961963,0.6849977991429588,1.0,0.797414400547771,0.7109736746753834
IT,0.6874660808759134,0.8029704211807692,0.875815928979183,0.4943611942420594,0.797414400547771,1.0,0.6331269031356258
NL,0.8492569606233837,0.7572084729937347,0.6328107403386038,0.7503587587549323,0.7109736746753834,0.6331269031356258,1.0
