index,L_t_equal,L_t_proxy_spread_only,std_basis_t,std_basis_proxy_t,avg_spread_t,PC1,spread_PC1
L_t_equal,1.0,0.41391551433545065,0.4034844092537435,0.4377700604375141,0.41391551433545065,0.9232685063484086,0.3791204997895356
L_t_proxy_spread_only,0.41391551433545065,1.0,0.6286135849296051,0.926995590537245,1.0,0.629090101928813,0.9628437043388897
std_basis_t,0.4034844092537435,0.6286135849296051,1.0,0.7138135205831612,0.6286135849296048,0.2723461689186283,0.47975077945243766
std_basis_proxy_t,0.4377700604375141,0.926995590537245,0.7138135205831612,1.0,0.926995590537245,0.14496676173032266,0.7954258355943689
avg_spread_t,0.41391551433545065,1.0,0.6286135849296048,0.926995590537245,1.0,0.629090101928813,0.9628437043388897
PC1,0.9232685063484086,0.629090101928813,0.2723461689186283,0.14496676173032266,0.629090101928813,1.0,0.8908109449679786
spread_PC1,0.3791204997895356,0.9628437043388897,0.47975077945243766,0.7954258355943689,0.9628437043388897,0.8908109449679786,1.0
